"sce","region","year","Units","value"
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South America_Northern","2025","MtCO2e",473.776087450521
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South America_Northern","2030","MtCO2e",509.852180492743
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South America_Northern","2035","MtCO2e",521.463771856351
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South America_Northern","2040","MtCO2e",524.628891842484
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South America_Northern","2045","MtCO2e",530.640733996594
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South America_Northern","2050","MtCO2e",537.195248576017
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South America_Southern","2020","MtCO2e",651.689996519863
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South America_Southern","2025","MtCO2e",560.109242048484
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South America_Southern","2030","MtCO2e",478.583399623753
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South America_Southern","2035","MtCO2e",375.107223457828
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South America_Southern","2040","MtCO2e",274.927143300126
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South America_Southern","2045","MtCO2e",177.877200980692
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South America_Southern","2050","MtCO2e",83.8148893167194
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Asia","2020","MtCO2e",461.668002097764
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Asia","2025","MtCO2e",521.748649019367
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Asia","2030","MtCO2e",583.146405164629
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Asia","2035","MtCO2e",642.13357903456
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Asia","2040","MtCO2e",688.59647686858
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Asia","2045","MtCO2e",744.936600066909
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Asia","2050","MtCO2e",766.293936384708
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Korea","2020","MtCO2e",746.260684438234
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Korea","2025","MtCO2e",592.60719288884
