"Data Source","World Development Indicators",

"Last Updated Date","2023-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Cyprus","CYP","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","5.26508","5.39694","4.71127","3.81091","3.22801","2.18731","2.14827","1.58635","1.31271","0.92636","0.89114","0.75606","0.48865","","","","","","","","","","","","","","","","1.82482","0.82893","1.3407","1.61906","1.26034","1.28963","1.53944","1.90529","2.03023","1.99945","2.55562","1.98361","2.46115","2.46568","2.67079","2.36431","2.0859","1.84078","2.03012","","","","","",
"Czechia","CZE","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.99915","","","","","","","","14.79485","13.14971","13.4673","13.62834","13.24936","12.60384","12.20903","12.0005","11.58903","11.68941","11.82218","","","","","",
"Germany","DEU","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.37872","18.39101","17.69742","17.09106","16.44473","16.0231","16.10195","15.87995","15.64224","14.42342","14.32083","13.79021","13.64024","13.4002","13.0562","12.72169","12.71832","","","","","",
"Djibouti","DJI","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","21.99939","21.59037","20.55893","20.43125","19.30613","19.69273","","17.23301","15.37972","17.42703","16.80841","16.58354","18.22322","","17.93217","17.1077","18.61979","18.73048","","17.18801","12.61178","14.08917","13.01914","17.6065","17.60789","","11.38156","","","12.97756","13.36773","16.24415","13.84606","11.93467","11.45423","","","",
"Dominica","DMA","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","19.46922","17.77278","17.84069","","21.06264","17.04488","17.56775","18.73232","","","","","","","","","","","","","","","","","7.57868","5.0115","4.85782","4.57173","4.7346","3.60784","3.83901","3.67213","4.44544","3.98323","4.34061","","5.36102","7.07119","","6.98031","5.60868","8.6289","","","","","","",
"Denmark","DNK","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.98206","0.97313","1.554","2.0683","","2.12428","2.08535","2.16573","0","0","","3.08467","3.34096","3.6379","3.58488","4.11234","4.19948","4.29419","3.81652","3.90078","3.69027","3.72517","3.56495","3.48053","3.1456","","","","","",
"Dominican Republic","DOM","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.16707","25.77927","","19.91443","18.89131","23.69561","23.15675","21.18794","22.20015","23.5159","12.93549","16.61474","17.01636","17.0709","18.12171","18.576","17.53268","16.94176","15.3398","13.68502","","","","",
"Algeria","DZA","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","19.18937","17.93429","16.91392","17.27027","17.20049","17.29078","16.80303","15.3908","14.21853","13.51177","12.80471","11.43634","10.41301","7.7519","7.10373","7.17339","6.92522","7.3103","7.3116","7.63377","8.24547","8.68184","8.72066","10.10681","11.41655","","13.13184","14.53392","14.29671","13.85289","14.09466","14.2125","14.42329","14.7383","13.76238","12.37911","12.69655","12.53631","11.10654","10.0286","9.65372","8.72875","8.25738","8.36605","8.60557","8.26426","","","","",
"East Asia & Pacific (excluding high income)","EAP","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","17.92898","","18.96777","20.64106","21.28082","22.207","20.88551","20.19788","21.14923","21.8532","","","","","","","","","","","","","","14.7012","13.87165","13.23449","13.22733","12.74756","12.74883","12.32624","11.60371","11.02568","10.81948","","10.69153","10.23255","9.92628","10.43869","7.01244","6.52857","6.60635","7.07158","6.92642","7.25329","5.41966","4.56117","3.62642","3.36915","","","","",
"Egypt, Arab Rep.","EGY","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","5.62969","6.1602","6.9668","","","","","","","","","","","","","","","","","","","","","5.95937","","","7.78414","","7.64059","7.27862","6.84693","6.94628","6.21831","5.54163","","","","","","","","5.07019","","3.95174","","3.35674","3.06084","2.95117","","","","",
"Euro area","EMU","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.65359","","47.50198","48.15969","47.24922","45.03894","","36.35446","33.70389","29.42444","28.1995","27.55855","26.68036","24.7809","23.86802","21.22295","21.06706","20.14281","17.27263","15.16035","13.31479","24.7445","22.47608","23.22813","","26.35953","26.72101","","","","",
