Title: GramProteinFatPerKcal,,,,,,,,
Source: DF_Macronutrient_FoodItem3 - module_aglu_L100.FAO_SUA_connection,,,,,,,,
#######,,,,,,,,
GCAM_commodity,GCAM_region_ID,Mt,fatperc,proteinperc,Kcalperg,MKcal,gProteinPerKcal,gFatPerKcal
OtherMeat_Fish,10,1.013844768,12.07190209,11.80690871,1.657791682,1680.743424,7.122070187,7.281917397
Pork,10,0.24520612,27.59048642,11.35297839,2.975181049,729.5326,3.815894966,9.273548723
Poultry,10,1.252280876,8.692486191,11.40682235,1.292924278,1619.104348,8.822498385,6.723120866
Rice,10,0.700087769,0.578930196,4.973729009,2.654691984,1858.51739,1.873561618,0.218078105
RootTuber,10,6.470148305,0.122524599,1.590004574,0.667448744,4318.49236,2.38221225,0.183571548
SheepGoat,10,0.915656098,14.83704431,11.70465445,1.859211473,1702.398322,6.295493881,7.980288699
Soybean,10,0.031063044,89.93312308,0.384811943,7.985261389,248.046524,0.048190275,11.26238938
SugarCrop,10,11.13556766,2.59E-04,4.24E-04,0.587206186,6538.874212,7.22E-04,4.41E-04
Vegetables,10,19.40733865,0.194797055,0.94640123,0.244015852,4735.698284,3.878441588,0.798296723
Wheat,10,11.17491423,1.306018296,10.1455812,3.418755012,38204.29404,2.967624519,0.38201576
Beef,11,7.237869327,18.42620918,13.49962436,2.223759678,16095.28197,6.070630962,8.286061377
Corn,11,11.40898254,3.984128337,5.259044337,2.63596435,30073.67123,1.995112088,1.511450008
Dairy,11,40.44911331,4.130988164,3.472221968,0.702448017,28413.39944,4.943030493,5.880845363
FiberCrop,11,1.197463724,72.17008607,0,6.379835704,7639.62182,0,11.31221702
Fruits,11,133.4073743,0.279987801,0.476227968,0.432318407,57674.46349,1.101567642,0.647642563
Legumes,11,1.881285857,1.873724166,22.59946263,3.362934926,6326.641916,6.720160553,0.55716932
MiscCrop,11,1.990850941,3.172955142,9.733590558,0.936155717,1863.74649,10.39740546,3.389345474
NutsSeeds,11,13.02853543,31.18578145,12.30205979,3.59996296,46902.24496,3.417273991,8.6628062
OilCrop,11,4.144373797,74.22275547,1.911880537,6.688930192,27721.42702,0.285827551,11.09635672
OilPalm,11,10.89009846,29.10742825,0,2.573069742,28020.98283,0,11.31233552
OtherGrain,11,10.34073074,1.512360461,7.251234453,4.013983541,41507.52301,1.80649332,0.37677296
OtherMeat_Fish,11,77.22594503,1.78690728,7.834845915,0.598143623,46192.20654,13.0986031,2.987421769
